id,name,name_kr,description,description_kr,price,image,category_title,category_title_kr,category_note,category_image
TS1,Dumpling Soft Tofu Soup,만두 순두부,"Pork dumplings, house made soft tofu, assorted vegetables.",,16.50,manduSundubu,Tofu Soup,순두부,Comes with a serving of stone pot rice,
TS2,Korean Miso Soft Tofu Soup,된장 순두부,"Korean miso broth, house made soft tofu, assorted vegetables, mussels, and clams",,16.50,dwenjangSundubu,,,,
TS3,Beef Soft Tofu Soup,소고기 순두부,"Premium beef, house made soft tofu, assorted vegetables.",,16.50,,,,,
TS4,Oyster Soft Tofu Soup,굴 순두부,"Oyster, house made soft tofu, assorted vegetables.",,17.50,,,,,
TS5,Intestine Soft Tofu Soup,내장 순두부,"Intestine, house made soft tofu, assorted vegetables.",,16.90,gopjangSundubu,,,,
TS6,Seafood Soft Tofu Soup,해물 순두부,"Seafood medley (clams, mussells, shrimp, calamari), house made soft tofu, assorted vegetables.",,17.90,,,,,
TS7,Kimchi Soft Tofu Soup,김치 순두부,"Pork, house made soft tofu, assorted vegetables, and kimchi",,16.50,,,,,
TS8,Ham & Sausage Tofu Soup,"햄, 소세지 순두부","Ham, sausage, house made soft tofu, assorted vegetables.",,16.50,,,,,
TS9,Mushroom Soft Tofu Soup,버섯 순두부,"Mushroom, house made soft tofu, assorted vegetables.",,16.50,,,,,
TS10,Jjambong Soft Tofu Soup,,,,,,,,,
